Token类型    Token值      所在行数
关键字       int          1
标识符       program      1
左括号       (            1
关键字       int          1
标识符       a            1
分隔符       ,            1
关键字       int          1
标识符       b            1
分隔符       ,            1
关键字       int          1
标识符       c            1
右括号       )            1
左大括号     {            2
关键字       int          3
标识符       i            3
界符         ;            3
关键字       int          4
标识符       j            4
界符         ;            4
标识符       i            5
单目运算符   =            5
整数         0            5
界符         ;            5
关键字       if           6
左括号       (            6
标识符       a            6
单目运算符   >            6
左括号       (            6
标识符       b            6
单目运算符   +            6
标识符       c            6
右括号       )            6
右括号       )            6
左大括号     {            7
标识符       j            8
单目运算符   =            8
标识符       a            8
单目运算符   +            8
左括号       (            8
标识符       b            8
单目运算符   *            8
标识符       c            8
单目运算符   +            8
整数         1            8
右括号       )            8
界符         ;            8
左大括号     }            9
关键字       else         10
左大括号     {            11
标识符       j            12
单目运算符   =            12
标识符       a            12
界符         ;            12
左大括号     }            13
关键字       while        14
左括号       (            14
标识符       i            14
双目运算符   <=           14
整数         100          14
右括号       )            14
左大括号     {            15
标识符       i            16
单目运算符   =            16
标识符       j            16
单目运算符   *            16
整数         2            16
界符         ;            16
标识符       j            17
单目运算符   =            17
标识符       i            17
界符         ;            17
左大括号     }            18
关键字       return       19
标识符       i            19
界符         ;            19
左大括号     }            20
关键字       int          22
标识符       demo         22
左括号       (            22
关键字       int          22
标识符       a            22
右括号       )            22
左大括号     {            23
标识符       a            24
单目运算符   =            24
标识符       a            24
单目运算符   +            24
整数         2            24
界符         ;            24
关键字       return       25
标识符       a            25
单目运算符   *            25
整数         2            25
界符         ;            25
左大括号     }            26
关键字       void         28
标识符       main         28
左括号       (            28
关键字       void         28
右括号       )            28
左大括号     {            29
关键字       int          30
标识符       a            30
左方括号     [            30
整数         2            30
右方括号     ]            30
左方括号     [            30
整数         2            30
右方括号     ]            30
界符         ;            30
标识符       a            31
左方括号     [            31
整数         0            31
右方括号     ]            31
左方括号     [            31
整数         0            31
右方括号     ]            31
单目运算符   =            31
整数         3            31
界符         ;            31
标识符       a            32
左方括号     [            32
整数         1            32
右方括号     ]            32
左方括号     [            32
整数         0            32
右方括号     ]            32
单目运算符   =            32
整数         0            32
界符         ;            32
标识符       a            33
左方括号     [            33
整数         0            33
右方括号     ]            33
左方括号     [            33
整数         1            33
右方括号     ]            33
单目运算符   =            33
标识符       a            33
左方括号     [            33
整数         0            33
右方括号     ]            33
左方括号     [            33
整数         0            33
右方括号     ]            33
单目运算符   +            33
整数         1            33
界符         ;            33
标识符       a            34
左方括号     [            34
整数         1            34
右方括号     ]            34
左方括号     [            34
整数         0            34
右方括号     ]            34
单目运算符   =            34
标识符       a            34
左方括号     [            34
整数         0            34
右方括号     ]            34
左方括号     [            34
整数         1            34
右方括号     ]            34
单目运算符   +            34
标识符       a            34
左方括号     [            34
整数         1            34
右方括号     ]            34
左方括号     [            34
整数         0            34
右方括号     ]            34
界符         ;            34
标识符       a            35
左方括号     [            35
整数         1            35
右方括号     ]            35
左方括号     [            35
整数         1            35
右方括号     ]            35
单目运算符   =            35
标识符       program      35
左括号       (            35
标识符       a            35
左方括号     [            35
整数         0            35
右方括号     ]            35
左方括号     [            35
整数         0            35
右方括号     ]            35
分隔符       ,            35
标识符       a            35
左方括号     [            35
整数         0            35
右方括号     ]            35
左方括号     [            35
整数         1            35
右方括号     ]            35
分隔符       ,            35
标识符       demo         35
左括号       (            35
标识符       a            35
左方括号     [            35
整数         1            35
右方括号     ]            35
左方括号     [            35
整数         0            35
右方括号     ]            35
右括号       )            35
右括号       )            35
界符         ;            35
关键字       return       36
界符         ;            36
左大括号     }            37
